中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
143.47.189.167,443,2a0b:21c0:100a:1fa:0:5b2e:d3dc:5199,DE,Frankfurt,隧道,346 ms
130.162.162.3,443,2a0b:21c0:1007:c9:0:da9:76bc:ff5e,DE,Frankfurt,隧道,254 ms
130.162.174.238,443,2a0b:21c0:100a:1b0:0:8475:9f77:187a,DE,Frankfurt,隧道,260 ms
152.70.57.230,443,2a0b:21c0:1007:1c7:0:1e4d:5f6c:e98b,DE,Frankfurt,隧道,252 ms
89.168.68.179,443,2a0b:21c0:1007:cb:0:4fe8:a93e:b255,DE,Frankfurt,隧道,259 ms
158.101.221.74,443,2606:f240:f00:5a42:0:b30d:3344:a763,US,Frankfurt,隧道,256 ms
129.159.198.35,443,2a0b:21c0:1007:1cb:0:f005:57e4:f7d1,DE,Frankfurt,隧道,357 ms
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,188 ms
130.162.231.49,443,2a0b:21c0:1007:c7:0:f905:c298:d33,DE,Frankfurt,隧道,244 ms
84.235.173.80,443,2a0b:21c0:100a:1b5:0:482b:d650:3a5a,DE,Frankfurt,隧道,262 ms
130.162.149.30,443,2602:ffe4:407:20d9:0:9c94:4676:a98e,SG,Singapore,隧道,245 ms
150.230.202.10,443,2602:ffe4:407:20da:0:2314:4576:17d0,SG,Singapore,隧道,135 ms
144.21.50.100,443,2606:f240:f00:5a42:0:52fe:63a7:39e1,US,Frankfurt,隧道,248 ms
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,257 ms
141.144.204.234,443,2606:f240:f00:46c4:0:df18:2cda:21a9,US,Frankfurt,隧道,336 ms
130.162.162.23,443,2606:f240:f00:46c4:0:72e9:6093:98fd,US,Frankfurt,隧道,248 ms
84.235.166.120,443,2606:f240:f00:b2ed:0:9704:6161:bdb4,US,Frankfurt,隧道,250 ms
158.101.206.163,443,2a0b:21c0:100a:1b0:0:a71d:52e5:a7ab,DE,Frankfurt,隧道,326 ms
130.162.164.25,443,98.98.166.170,AE,Frankfurt,隧道,382 ms
152.67.219.40,443,2602:ffe4:407:20da:0:1998:d65d:6991,SG,Singapore,隧道,152 ms
152.70.56.90,443,2a0b:21c0:100a:1b4:0:aa09:daeb:a938,DE,Frankfurt,隧道,391 ms
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,258 ms
89.168.121.63,443,98.98.156.30,AE,Frankfurt,隧道,247 ms
141.147.72.154,443,2606:f240:f00:2be4:0:cd4c:aa1f:e207,US,Frankfurt,隧道,251 ms
155.248.196.218,443,2603:c024:c006:8388:3f90:28d4:eab7:6afc,US,San Jose,隧道,223 ms
141.144.198.160,443,2606:f240:f00:5a42:0:d9ca:ae50:1c13,US,Frankfurt,隧道,221 ms
141.148.229.124,443,163.123.193.10,DE,Frankfurt,隧道,256 ms
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,258 ms
89.168.68.2,443,98.98.166.182,AE,Frankfurt,隧道,262 ms
158.180.35.98,443,2a0b:21c0:1007:1c9:0:2263:1cd0:8617,DE,Frankfurt,隧道,251 ms
141.144.228.52,443,2606:f240:f00:b2ed:0:588d:d001:0,US,Frankfurt,隧道,251 ms
158.178.156.146,443,2606:f240:f00:83a7:0:bee1:761c:32cf,US,Frankfurt,隧道,306 ms
