中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.121.164,443,98.98.156.22,AE,Frankfurt,隧道,299 ms,45 Mbps,5818 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,83 ms,32 Mbps,4151 kB/s
158.180.90.122,443,2602:ffe4:407:20da:0:bd78:45c6:6fc7,SG,Singapore,隧道,157 ms,97 Mbps,12492 kB/s
89.168.84.104,443,163.123.193.23,DE,Frankfurt,隧道,246 ms,11 Mbps,1446 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,236 ms,24 Mbps,3074 kB/s
144.21.57.128,443,163.123.193.4,DE,Frankfurt,隧道,375 ms,55 Mbps,7160 kB/s
143.47.255.255,443,2a0b:21c0:1007:c7:0:70d9:3c44:b2a7,DE,Frankfurt,隧道,258 ms,48 Mbps,6186 kB/s
141.147.46.144,443,2606:f240:f00:5a42:0:4e70:f717:9bf7,US,Frankfurt,隧道,344 ms,46 Mbps,5917 kB/s
152.67.216.78,443,2602:ffe4:407:20d9:0:c5f6:35e4:90aa,SG,Singapore,隧道,157 ms,121 Mbps,15564 kB/s
150.230.216.94,443,2602:ffe4:407:20da:0:4494:439c:c1f3,SG,Singapore,隧道,154 ms,106 Mbps,13619 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,256 ms,32 Mbps,4192 kB/s
158.101.213.195,443,2a0b:21c0:1007:1c9:0:3714:5dd5:e96b,DE,Frankfurt,隧道,357 ms,38 Mbps,4900 kB/s
140.238.94.142,443,2a0b:21c0:100a:1b6:0:cdf6:9ee8:380f,DE,Frankfurt,隧道,262 ms,42 Mbps,5440 kB/s
141.147.34.139,443,2a0b:21c0:1007:cb:0:19e1:72c0:5cfc,DE,Frankfurt,隧道,246 ms,48 Mbps,6195 kB/s
141.147.2.184,443,2a0b:21c0:1007:cb:0:c8f6:66e3:550,DE,Frankfurt,隧道,387 ms,45 Mbps,5842 kB/s
84.8.148.69,443,2a0b:21c0:100a:1b3:0:3fe5:cd73:f878,DE,Frankfurt,隧道,252 ms,17 Mbps,2240 kB/s
141.144.201.223,443,2a0b:21c0:100a:1f9:0:c650:4963:e6a1,DE,Frankfurt,隧道,249 ms,59 Mbps,7592 kB/s
84.8.157.152,443,2606:f240:f00:6acf:0:1d9b:5a5f:c77a,US,Frankfurt,隧道,257 ms,34 Mbps,4431 kB/s
144.21.37.130,443,2a0b:21c0:100a:1b7:0:91ef:b23c:e634,DE,Frankfurt,隧道,258 ms,37 Mbps,4811 kB/s
141.148.244.111,443,2606:f240:f00:b2ed:0:d083:e71b:8d56,US,Frankfurt,隧道,249 ms,38 Mbps,4910 kB/s
158.178.146.139,443,2a0b:21c0:100a:1fa:0:661c:1c9d:1e99,DE,Frankfurt,隧道,249 ms,31 Mbps,4023 kB/s
143.47.254.135,443,98.98.166.178,AE,Frankfurt,隧道,256 ms,31 Mbps,4057 kB/s
158.101.223.41,443,2606:f240:f00:46c4:0:b543:5c91:705e,US,Frankfurt,隧道,381 ms,47 Mbps,6055 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,210 ms,33 Mbps,4233 kB/s
138.2.131.212,443,2606:f240:f00:eaf1:0:5def:af7d:4c16,US,Frankfurt,隧道,374 ms,53 Mbps,6838 kB/s
89.168.99.116,443,2a0b:21c0:100a:1b0:0:635:5b04:a980,DE,Frankfurt,隧道,385 ms,18 Mbps,2364 kB/s
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,268 ms,44 Mbps,5691 kB/s
132.145.15.145,443,2606:f240:f00:83a7:0:50b2:3fee:a048,US,Frankfurt,隧道,252 ms,41 Mbps,5326 kB/s
138.3.241.144,443,2a0b:21c0:1007:1c7:0:dd20:a66d:7ad1,DE,Frankfurt,隧道,251 ms,41 Mbps,5256 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,243 ms,31 Mbps,4088 kB/s
141.148.235.227,443,2606:f240:f00:b2ed:0:6381:8111:7053,US,Frankfurt,隧道,256 ms,34 Mbps,4393 kB/s
141.144.207.58,443,98.98.166.194,AE,Frankfurt,隧道,217 ms,51 Mbps,6587 kB/s
138.3.240.249,443,2a0b:21c0:1007:c7:0:90dd:a27d:5ab,DE,Frankfurt,隧道,256 ms,6 Mbps,886 kB/s
130.162.132.49,443,2602:ffe4:407:20d9:0:d4e7:462:18f1,SG,Singapore,隧道,245 ms,17 Mbps,2227 kB/s
193.122.105.238,443,2602:ffe4:407:20da:0:2d96:1e8:5070,SG,Singapore,隧道,244 ms,63 Mbps,8135 kB/s
130.61.97.144,443,2a0b:21c0:100a:1b2:0:8fe1:4c3c:2396,DE,Frankfurt,隧道,270 ms,55 Mbps,7123 kB/s
141.148.239.12,443,2606:f240:f00:6acf:0:d0e8:7440:63c2,US,Frankfurt,隧道,255 ms,51 Mbps,6642 kB/s
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,Marseille,隧道,275 ms,7 Mbps,1016 kB/s
193.123.62.48,443,2a0b:21c0:1007:1c7:0:7b90:fe7d:4241,DE,Frankfurt,隧道,259 ms,34 Mbps,4414 kB/s
141.144.207.99,443,2a0b:21c0:100a:1b4:0:3777:a931:9840,DE,Frankfurt,隧道,218 ms,17 Mbps,2198 kB/s
141.147.59.141,443,2606:f240:f00:b2ed:0:d21d:320e:a925,US,Frankfurt,隧道,375 ms,35 Mbps,4499 kB/s
138.2.99.97,443,138.2.99.97,SG,Singapore,中转,243 ms,48 Mbps,6169 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,354 ms,9 Mbps,1243 kB/s
89.168.121.0,443,2a0b:21c0:100a:1b1:0:53d0:9c75:32d4,DE,Frankfurt,隧道,373 ms,55 Mbps,7157 kB/s
144.21.54.22,443,2a0b:21c0:100a:1b0:0:978a:5601:d0c1,DE,Frankfurt,隧道,335 ms,57 Mbps,7335 kB/s
158.180.35.112,443,2606:f240:f00:83a7:0:efa8:41e3:aada,US,Frankfurt,隧道,244 ms,57 Mbps,7337 kB/s
130.162.182.193,443,2606:f240:f00:5a42:0:335c:cbce:1ff7,US,Frankfurt,隧道,250 ms,19 Mbps,2539 kB/s
152.67.133.31,443,2a0b:21c0:100a:1fa:0:2c76:1377:3eb,DE,Frankfurt,隧道,259 ms,33 Mbps,4287 kB/s
130.162.160.79,443,2a0b:21c0:100a:1fa:0:d78e:4318:6ba3,DE,Frankfurt,隧道,264 ms,37 Mbps,4760 kB/s
130.162.154.21,443,2602:ffe4:407:21d9:0:1775:28b4:5cea,SG,Singapore,隧道,377 ms,18 Mbps,2335 kB/s
141.148.240.99,443,2606:f240:f00:eaf1:0:1095:566d:af93,US,Frankfurt,隧道,246 ms,43 Mbps,5631 kB/s
